#ID,,,,,,,,
21,,,,,,,,
X_position,Y_position,Time,year,month,day,hour,minute,second
774.01881,588.26411,55883.161,2017,9,28,15,31,23.161
777.22884,588.26411,55883.201,2017,9,28,15,31,23.201
803.7116,577.51579,55883.221,2017,9,28,15,31,23.221
817.35423,568.42105,55883.251,2017,9,28,15,31,23.251
827.78683,561.8067,55883.271,2017,9,28,15,31,23.271
839.02194,550.23158,55883.291,2017,9,28,15,31,23.291
861.49216,512.19904,55883.321,2017,9,28,15,31,23.321
880.75235,470.03254,55883.341,2017,9,28,15,31,23.341
898.40752,436.96077,55883.371,2017,9,28,15,31,23.371
911.24765,410.50335,55883.391,2017,9,28,15,31,23.391
915.26019,402.23541,55883.411,2017,9,28,15,31,23.411
1029.2163,600.66603,56258.506,2017,9,28,15,37,38.506
1030.0188,600.66603,56258.516,2017,9,28,15,37,38.516
1031.6238,603.14641,56258.547,2017,9,28,15,37,38.547
1034.0313,610.58756,56258.576,2017,9,28,15,37,38.576
1037.2414,617.20191,56258.596,2017,9,28,15,37,38.596
1038.0439,624.64306,56258.626,2017,9,28,15,37,38.626
1038.0439,627.12344,56258.656,2017,9,28,15,37,38.656
1037.2414,628.77703,56258.676,2017,9,28,15,37,38.676
1027.6113,632.08421,56258.706,2017,9,28,15,37,38.706
1023.5987,633.7378,56258.726,2017,9,28,15,37,38.726
1019.5862,634.56459,56258.787,2017,9,28,15,37,38.787
985.88088,634.56459,56258.796,2017,9,28,15,37,38.796
973.84326,634.56459,56258.817,2017,9,28,15,37,38.817
961.00313,632.911,56258.836,2017,9,28,15,37,38.836
948.96552,631.25742,56258.856,2017,9,28,15,37,38.856
940.13793,628.77703,56258.876,2017,9,28,15,37,38.876
924.89028,623.81627,56258.896,2017,9,28,15,37,38.896
912.05016,618.02871,56258.917,2017,9,28,15,37,38.917
900.01254,610.58756,56258.946,2017,9,28,15,37,38.946
890.38245,599.83923,56258.967,2017,9,28,15,37,38.967
880.75235,584.13014,56258.997,2017,9,28,15,37,38.997
876.73981,566.76746,56259.027,2017,9,28,15,37,39.027
876.73981,552.71196,56259.046,2017,9,28,15,37,39.046
885.5674,537.00287,56259.076,2017,9,28,15,37,39.076
897.60502,528.73493,56259.106,2017,9,28,15,37,39.106
917.66771,522.94737,56259.127,2017,9,28,15,37,39.127
941.74295,522.94737,56259.156,2017,9,28,15,37,39.156
960.20063,528.73493,56259.186,2017,9,28,15,37,39.186
977.8558,538.65646,56259.207,2017,9,28,15,37,39.207
982.67085,543.61722,56259.217,2017,9,28,15,37,39.217
993.90596,560.15311,56259.236,2017,9,28,15,37,39.236
999.52351,576.689,56259.267,2017,9,28,15,37,39.267
999.52351,581.64976,56259.267,2017,9,28,15,37,39.267
997.9185,596.53206,56259.296,2017,9,28,15,37,39.296
983.47335,615.54833,56259.316,2017,9,28,15,37,39.316
966.62069,625.46986,56259.346,2017,9,28,15,37,39.346
938.53292,634.56459,56259.367,2017,9,28,15,37,39.367
